,val,err_analyt,err_boot,framesA,framesB
2de79b1_72eb1aa_complex,109.39333333333333,0.3730079679367364,0.3808156631304859,,
2de79b1_72eb1aa_ligand,111.07333333333334,0.17744717596827436,0.17059745781216185,,
0d31b4d_2de79b1_complex,122.98333333333335,0.3724727825003403,0.36805442913000946,,
0d31b4d_2de79b1_ligand,120.00333333333333,0.5067605951883006,0.5076294878749945,,
2de79b1_daf354b_complex,7.16,0.674127146880288,0.6726829561115198,,
2de79b1_daf354b_ligand,6.8933333333333335,0.7239397993895347,0.7115045116978292,,
18bf4d8_dac4e5a_complex,-16.59,2.929326196408071,2.8630294185843495,,
18bf4d8_dac4e5a_ligand,-15.306666666666667,0.7340308334198762,0.7139268559799273,,
a500639_dac4e5a_complex,107.57666666666667,0.9257669062023788,0.9349857728171027,,
a500639_dac4e5a_ligand,108.81,0.21556549054245422,0.20927545181226198,,
0d31b4d_72eb1aa_complex,231.15666666666664,0.5270418514691785,0.5061380312065864,,
0d31b4d_72eb1aa_ligand,230.26999999999998,0.2677534812347338,0.27678130547044244,,
0d31b4d_a3705ce_complex,-532.9,1.5114951050824716,1.4955941229146956,,
0d31b4d_a3705ce_ligand,-532.0266666666666,1.2566387390440716,1.242947995407299,,
